log_id,routine_name,time_of_day,completion_date,completed,day_of_week,month
34,Morning Reading,Morning,2025-12-04,1,Thursday,2025-12
35,Morning Reading,Morning,2025-12-05,1,Friday,2025-12
36,Morning Reading,Morning,2025-12-06,1,Saturday,2025-12
37,Morning Reading,Morning,2025-12-07,1,Sunday,2025-12
38,Morning Reading,Morning,2025-12-08,1,Monday,2025-12
39,Morning Reading,Morning,2025-12-09,1,Tuesday,2025-12
40,Morning Reading,Morning,2025-12-10,1,Wednesday,2025-12
41,Morning Reading,Morning,2025-12-11,1,Thursday,2025-12
42,Morning Reading,Morning,2025-12-12,0,Friday,2025-12
43,Morning Reading,Morning,2025-12-13,1,Saturday,2025-12
44,Morning Reading,Morning,2025-12-14,1,Sunday,2025-12
45,Morning Reading,Morning,2025-12-15,1,Monday,2025-12
46,Morning Reading,Morning,2025-12-16,0,Tuesday,2025-12
47,Morning Reading,Morning,2025-12-17,1,Wednesday,2025-12
48,Morning Reading,Morning,2025-12-18,1,Thursday,2025-12
49,Morning Reading,Morning,2025-12-19,1,Friday,2025-12
50,Morning Reading,Morning,2025-12-20,0,Saturday,2025-12
51,Morning Reading,Morning,2025-12-21,1,Sunday,2025-12
52,Morning Reading,Morning,2025-12-22,0,Monday,2025-12
53,Morning Reading,Morning,2025-12-23,0,Tuesday,2025-12
54,Morning Reading,Morning,2025-12-24,0,Wednesday,2025-12
55,Morning Reading,Morning,2025-12-25,1,Thursday,2025-12
56,Morning Reading,Morning,2025-12-26,1,Friday,2025-12
57,Morning Reading,Morning,2025-12-27,1,Saturday,2025-12
58,Morning Reading,Morning,2025-12-28,0,Sunday,2025-12
59,Morning Reading,Morning,2025-12-29,1,Monday,2025-12
60,Morning Reading,Morning,2025-12-30,1,Tuesday,2025-12
61,Morning Reading,Morning,2025-12-31,1,Wednesday,2025-12
62,Morning Reading,Morning,2026-01-01,1,Thursday,2026-01
63,Morning Reading,Morning,2026-01-02,1,Friday,2026-01
64,Morning Reading,Morning,2026-01-03,1,Saturday,2026-01
65,Morning Reading,Morning,2026-01-04,1,Sunday,2026-01
66,Morning Reading,Morning,2026-01-05,0,Monday,2026-01
67,Morning Reading,Morning,2026-01-06,1,Tuesday,2026-01
68,Morning Reading,Morning,2026-01-07,1,Wednesday,2026-01
69,Morning Reading,Morning,2026-01-08,1,Thursday,2026-01
70,Morning Reading,Morning,2026-01-09,1,Friday,2026-01
71,Morning Reading,Morning,2026-01-10,0,Saturday,2026-01
72,Morning Reading,Morning,2026-01-11,1,Sunday,2026-01
73,Morning Reading,Morning,2026-01-12,1,Monday,2026-01
74,Morning Reading,Morning,2026-01-13,1,Tuesday,2026-01
75,Morning Reading,Morning,2026-01-14,0,Wednesday,2026-01
76,Morning Reading,Morning,2026-01-15,1,Thursday,2026-01
77,Morning Reading,Morning,2026-01-16,0,Friday,2026-01
78,Morning Reading,Morning,2026-01-17,1,Saturday,2026-01
79,Morning Reading,Morning,2026-01-18,1,Sunday,2026-01
80,Morning Reading,Morning,2026-01-19,1,Monday,2026-01
81,Morning Reading,Morning,2026-01-20,0,Tuesday,2026-01
82,Morning Reading,Morning,2026-01-21,1,Wednesday,2026-01
83,Morning Reading,Morning,2026-01-22,0,Thursday,2026-01
84,Morning Reading,Morning,2026-01-23,1,Friday,2026-01
85,Morning Reading,Morning,2026-01-24,1,Saturday,2026-01
86,Morning Reading,Morning,2026-01-25,1,Sunday,2026-01
87,Morning Reading,Morning,2026-01-26,0,Monday,2026-01
88,Morning Reading,Morning,2026-01-27,1,Tuesday,2026-01
89,Morning Reading,Morning,2026-01-28,0,Wednesday,2026-01
90,Morning Reading,Morning,2026-01-29,0,Thursday,2026-01
91,Morning Reading,Morning,2026-01-30,0,Friday,2026-01
92,Morning Reading,Morning,2026-01-31,1,Saturday,2026-01
93,Morning Reading,Morning,2026-02-01,0,Sunday,2026-02
94,Morning Reading,Morning,2026-02-02,0,Monday,2026-02
95,Morning Reading,Morning,2026-02-03,1,Tuesday,2026-02
96,Morning Reading,Morning,2026-02-04,1,Wednesday,2026-02
97,Morning Reading,Morning,2026-02-05,1,Thursday,2026-02
98,Morning Reading,Morning,2026-02-06,1,Friday,2026-02
99,Morning Reading,Morning,2026-02-07,1,Saturday,2026-02
100,Morning Reading,Morning,2026-02-08,1,Sunday,2026-02
101,Morning Reading,Morning,2026-02-09,1,Monday,2026-02
102,Morning Reading,Morning,2026-02-10,1,Tuesday,2026-02
103,Morning Reading,Morning,2026-02-11,1,Wednesday,2026-02
104,Morning Reading,Morning,2026-02-12,1,Thursday,2026-02
105,Morning Reading,Morning,2026-02-13,1,Friday,2026-02
106,Morning Reading,Morning,2026-02-14,1,Saturday,2026-02
107,Morning Reading,Morning,2026-02-15,1,Sunday,2026-02
108,Morning Reading,Morning,2026-02-16,1,Monday,2026-02
109,Morning Reading,Morning,2026-02-17,1,Tuesday,2026-02
110,Morning Reading,Morning,2026-02-18,0,Wednesday,2026-02
111,Morning Reading,Morning,2026-02-19,1,Thursday,2026-02
112,Morning Reading,Morning,2026-02-20,0,Friday,2026-02
113,Morning Reading,Morning,2026-02-21,1,Saturday,2026-02
114,Morning Reading,Morning,2026-02-22,1,Sunday,2026-02
115,Morning Reading,Morning,2026-02-23,1,Monday,2026-02
116,Morning Reading,Morning,2026-02-24,1,Tuesday,2026-02
117,Morning Reading,Morning,2026-02-25,1,Wednesday,2026-02
118,Morning Reading,Morning,2026-02-26,1,Thursday,2026-02
119,Morning Reading,Morning,2026-02-27,1,Friday,2026-02
120,Morning Reading,Morning,2026-02-28,1,Saturday,2026-02
121,Morning Reading,Morning,2026-03-01,1,Sunday,2026-03
122,Morning Reading,Morning,2026-03-02,0,Monday,2026-03
123,Morning Reading,Morning,2026-03-03,1,Tuesday,2026-03
124,Morning Reading,Morning,2026-03-04,1,Wednesday,2026-03
125,Morning Reading,Morning,2026-03-05,1,Thursday,2026-03
126,Morning Reading,Morning,2026-03-06,1,Friday,2026-03
127,Morning Reading,Morning,2026-03-07,0,Saturday,2026-03
128,Morning Reading,Morning,2026-03-08,1,Sunday,2026-03
129,Morning Reading,Morning,2026-03-09,1,Monday,2026-03
130,Morning Reading,Morning,2026-03-10,0,Tuesday,2026-03
131,Morning Reading,Morning,2026-03-11,1,Wednesday,2026-03
132,Morning Reading,Morning,2026-03-12,1,Thursday,2026-03
133,Morning Reading,Morning,2026-03-13,0,Friday,2026-03
134,Morning Reading,Morning,2026-03-14,0,Saturday,2026-03
135,Morning Reading,Morning,2026-03-15,1,Sunday,2026-03
136,Morning Reading,Morning,2026-03-16,1,Monday,2026-03
137,Morning Reading,Morning,2026-03-17,1,Tuesday,2026-03
138,Morning Reading,Morning,2026-03-18,1,Wednesday,2026-03
139,Morning Reading,Morning,2026-03-19,0,Thursday,2026-03
140,Morning Reading,Morning,2026-03-20,1,Friday,2026-03
141,Morning Reading,Morning,2026-03-21,0,Saturday,2026-03
142,Morning Reading,Morning,2026-03-22,0,Sunday,2026-03
143,Morning Reading,Morning,2026-03-23,1,Monday,2026-03
144,Morning Reading,Morning,2026-03-24,1,Tuesday,2026-03
145,Morning Reading,Morning,2026-03-25,1,Wednesday,2026-03
146,Morning Reading,Morning,2026-03-26,0,Thursday,2026-03
147,Morning Reading,Morning,2026-03-27,0,Friday,2026-03
148,Morning Reading,Morning,2026-03-28,1,Saturday,2026-03
149,Morning Reading,Morning,2026-03-29,0,Sunday,2026-03
150,Morning Reading,Morning,2026-03-30,1,Monday,2026-03
151,Morning Reading,Morning,2026-03-31,0,Tuesday,2026-03
152,Morning Reading,Morning,2026-04-01,1,Wednesday,2026-04
153,Morning Reading,Morning,2026-04-02,1,Thursday,2026-04
154,Morning Reading,Morning,2026-04-03,0,Friday,2026-04
155,Morning Reading,Morning,2026-04-04,1,Saturday,2026-04
156,Morning Reading,Morning,2026-04-05,1,Sunday,2026-04
157,Morning Reading,Morning,2026-04-06,1,Monday,2026-04
158,Morning Reading,Morning,2026-04-07,1,Tuesday,2026-04
159,Morning Reading,Morning,2026-04-08,1,Wednesday,2026-04
160,Morning Reading,Morning,2026-04-09,0,Thursday,2026-04
161,Morning Reading,Morning,2026-04-10,1,Friday,2026-04
162,Morning Reading,Morning,2026-04-11,1,Saturday,2026-04
163,Morning Reading,Morning,2026-04-12,0,Sunday,2026-04
164,Morning Reading,Morning,2026-04-13,1,Monday,2026-04
165,Morning Reading,Morning,2026-04-14,1,Tuesday,2026-04
166,Morning Reading,Morning,2026-04-15,0,Wednesday,2026-04
167,Morning Reading,Morning,2026-04-16,0,Thursday,2026-04
168,Morning Reading,Morning,2026-04-17,1,Friday,2026-04
169,Morning Reading,Morning,2026-04-18,0,Saturday,2026-04
170,Morning Reading,Morning,2026-04-19,1,Sunday,2026-04
171,Morning Reading,Morning,2026-04-20,0,Monday,2026-04
172,Morning Reading,Morning,2026-04-21,1,Tuesday,2026-04
173,Morning Reading,Morning,2026-04-22,0,Wednesday,2026-04
174,Morning Reading,Morning,2026-04-23,1,Thursday,2026-04
175,Morning Reading,Morning,2026-04-24,0,Friday,2026-04
176,Morning Reading,Morning,2026-04-25,0,Saturday,2026-04
177,Morning Reading,Morning,2026-04-26,0,Sunday,2026-04
178,Morning Reading,Morning,2026-04-27,1,Monday,2026-04
179,Morning Reading,Morning,2026-04-28,1,Tuesday,2026-04
180,Morning Reading,Morning,2026-04-29,1,Wednesday,2026-04
181,Morning Reading,Morning,2026-04-30,0,Thursday,2026-04
182,Morning Reading,Morning,2026-05-01,1,Friday,2026-05
183,Morning Reading,Morning,2026-05-02,0,Saturday,2026-05
184,Morning Reading,Morning,2026-05-03,0,Sunday,2026-05
185,Morning Reading,Morning,2026-05-04,1,Monday,2026-05
186,Morning Reading,Morning,2026-05-05,0,Tuesday,2026-05
187,Morning Reading,Morning,2026-05-06,1,Wednesday,2026-05
188,Morning Reading,Morning,2026-05-07,1,Thursday,2026-05
189,Morning Reading,Morning,2026-05-08,1,Friday,2026-05
190,Journaling,Morning,2025-11-01,1,Saturday,2025-11
191,Journaling,Morning,2025-11-02,0,Sunday,2025-11
192,Journaling,Morning,2025-11-03,1,Monday,2025-11
193,Journaling,Morning,2025-11-04,1,Tuesday,2025-11
194,Journaling,Morning,2025-11-05,1,Wednesday,2025-11
195,Journaling,Morning,2025-11-06,1,Thursday,2025-11
196,Journaling,Morning,2025-11-07,1,Friday,2025-11
197,Journaling,Morning,2025-11-08,0,Saturday,2025-11
198,Journaling,Morning,2025-11-09,1,Sunday,2025-11
199,Journaling,Morning,2025-11-10,1,Monday,2025-11
200,Journaling,Morning,2025-11-11,1,Tuesday,2025-11
201,Journaling,Morning,2025-11-12,1,Wednesday,2025-11
202,Journaling,Morning,2025-11-13,0,Thursday,2025-11
203,Journaling,Morning,2025-11-14,1,Friday,2025-11
204,Journaling,Morning,2025-11-15,0,Saturday,2025-11
205,Journaling,Morning,2025-11-16,1,Sunday,2025-11
206,Journaling,Morning,2025-11-17,1,Monday,2025-11
207,Journaling,Morning,2025-11-18,0,Tuesday,2025-11
208,Journaling,Morning,2025-11-19,0,Wednesday,2025-11
209,Journaling,Morning,2025-11-20,1,Thursday,2025-11
210,Journaling,Morning,2025-11-21,1,Friday,2025-11
211,Journaling,Morning,2025-11-22,1,Saturday,2025-11
212,Journaling,Morning,2025-11-23,1,Sunday,2025-11
213,Journaling,Morning,2025-11-24,0,Monday,2025-11
214,Journaling,Morning,2025-11-25,0,Tuesday,2025-11
215,Journaling,Morning,2025-11-26,1,Wednesday,2025-11
216,Journaling,Morning,2025-11-27,0,Thursday,2025-11
217,Journaling,Morning,2025-11-28,1,Friday,2025-11
218,Journaling,Morning,2025-11-29,1,Saturday,2025-11
219,Journaling,Morning,2025-11-30,1,Sunday,2025-11
220,Journaling,Morning,2025-12-01,1,Monday,2025-12
221,Journaling,Morning,2025-12-02,1,Tuesday,2025-12
222,Journaling,Morning,2025-12-03,1,Wednesday,2025-12
223,Journaling,Morning,2025-12-04,1,Thursday,2025-12
224,Journaling,Morning,2025-12-05,1,Friday,2025-12
225,Journaling,Morning,2025-12-06,0,Saturday,2025-12
226,Journaling,Morning,2025-12-07,1,Sunday,2025-12
227,Journaling,Morning,2025-12-08,1,Monday,2025-12
228,Journaling,Morning,2025-12-09,0,Tuesday,2025-12
229,Journaling,Morning,2025-12-10,0,Wednesday,2025-12
230,Journaling,Morning,2025-12-11,0,Thursday,2025-12
231,Journaling,Morning,2025-12-12,1,Friday,2025-12
232,Journaling,Morning,2025-12-13,1,Saturday,2025-12
233,Journaling,Morning,2025-12-14,1,Sunday,2025-12
234,Journaling,Morning,2025-12-15,1,Monday,2025-12
235,Journaling,Morning,2025-12-16,0,Tuesday,2025-12
236,Journaling,Morning,2025-12-17,1,Wednesday,2025-12
237,Journaling,Morning,2025-12-18,1,Thursday,2025-12
238,Journaling,Morning,2025-12-19,1,Friday,2025-12
239,Journaling,Morning,2025-12-20,1,Saturday,2025-12
240,Journaling,Morning,2025-12-21,0,Sunday,2025-12
241,Journaling,Morning,2025-12-22,1,Monday,2025-12
242,Journaling,Morning,2025-12-23,1,Tuesday,2025-12
243,Journaling,Morning,2025-12-24,1,Wednesday,2025-12
244,Journaling,Morning,2025-12-25,1,Thursday,2025-12
245,Journaling,Morning,2025-12-26,1,Friday,2025-12
246,Journaling,Morning,2025-12-27,0,Saturday,2025-12
247,Journaling,Morning,2025-12-28,1,Sunday,2025-12
248,Journaling,Morning,2025-12-29,0,Monday,2025-12
249,Journaling,Morning,2025-12-30,0,Tuesday,2025-12
250,Journaling,Morning,2025-12-31,0,Wednesday,2025-12
251,Journaling,Morning,2026-01-01,0,Thursday,2026-01
252,Journaling,Morning,2026-01-02,1,Friday,2026-01
253,Journaling,Morning,2026-01-03,1,Saturday,2026-01
254,Journaling,Morning,2026-01-04,1,Sunday,2026-01
255,Journaling,Morning,2026-01-05,0,Monday,2026-01
256,Journaling,Morning,2026-01-06,0,Tuesday,2026-01
257,Journaling,Morning,2026-01-07,0,Wednesday,2026-01
258,Journaling,Morning,2026-01-08,1,Thursday,2026-01
259,Journaling,Morning,2026-01-09,0,Friday,2026-01
260,Journaling,Morning,2026-01-10,1,Saturday,2026-01
261,Journaling,Morning,2026-01-11,1,Sunday,2026-01
262,Journaling,Morning,2026-01-12,1,Monday,2026-01
263,Journaling,Morning,2026-01-13,1,Tuesday,2026-01
264,Journaling,Morning,2026-01-14,1,Wednesday,2026-01
265,Journaling,Morning,2026-01-15,1,Thursday,2026-01
266,Journaling,Morning,2026-01-16,1,Friday,2026-01
267,Journaling,Morning,2026-01-17,0,Saturday,2026-01
268,Journaling,Morning,2026-01-18,0,Sunday,2026-01
269,Journaling,Morning,2026-01-19,1,Monday,2026-01
270,Journaling,Morning,2026-01-20,1,Tuesday,2026-01
271,Journaling,Morning,2026-01-21,0,Wednesday,2026-01
272,Journaling,Morning,2026-01-22,0,Thursday,2026-01
273,Journaling,Morning,2026-01-23,1,Friday,2026-01
274,Journaling,Morning,2026-01-24,1,Saturday,2026-01
275,Journaling,Morning,2026-01-25,1,Sunday,2026-01
276,Journaling,Morning,2026-01-26,1,Monday,2026-01
277,Journaling,Morning,2026-01-27,1,Tuesday,2026-01
278,Journaling,Morning,2026-01-28,0,Wednesday,2026-01
279,Journaling,Morning,2026-01-29,1,Thursday,2026-01
280,Journaling,Morning,2026-01-30,0,Friday,2026-01
281,Journaling,Morning,2026-01-31,0,Saturday,2026-01
282,Journaling,Morning,2026-02-01,0,Sunday,2026-02
283,Journaling,Morning,2026-02-02,1,Monday,2026-02
284,Journaling,Morning,2026-02-03,0,Tuesday,2026-02
285,Journaling,Morning,2026-02-04,1,Wednesday,2026-02
286,Journaling,Morning,2026-02-05,1,Thursday,2026-02
287,Journaling,Morning,2026-02-06,1,Friday,2026-02
288,Journaling,Morning,2026-02-07,1,Saturday,2026-02
289,Journaling,Morning,2026-02-08,0,Sunday,2026-02
290,Journaling,Morning,2026-02-09,1,Monday,2026-02
291,Journaling,Morning,2026-02-10,1,Tuesday,2026-02
292,Journaling,Morning,2026-02-11,1,Wednesday,2026-02
293,Journaling,Morning,2026-02-12,1,Thursday,2026-02
294,Journaling,Morning,2026-02-13,1,Friday,2026-02
295,Journaling,Morning,2026-02-14,0,Saturday,2026-02
296,Journaling,Morning,2026-02-15,1,Sunday,2026-02
297,Journaling,Morning,2026-02-16,1,Monday,2026-02
298,Journaling,Morning,2026-02-17,1,Tuesday,2026-02
299,Journaling,Morning,2026-02-18,1,Wednesday,2026-02
300,Journaling,Morning,2026-02-19,1,Thursday,2026-02
301,Journaling,Morning,2026-02-20,1,Friday,2026-02
302,Journaling,Morning,2026-02-21,0,Saturday,2026-02
303,Journaling,Morning,2026-02-22,0,Sunday,2026-02
304,Journaling,Morning,2026-02-23,1,Monday,2026-02
305,Journaling,Morning,2026-02-24,1,Tuesday,2026-02
306,Journaling,Morning,2026-02-25,0,Wednesday,2026-02
307,Journaling,Morning,2026-02-26,1,Thursday,2026-02
308,Journaling,Morning,2026-02-27,1,Friday,2026-02
309,Journaling,Morning,2026-02-28,0,Saturday,2026-02
310,Journaling,Morning,2026-03-01,1,Sunday,2026-03
311,Journaling,Morning,2026-03-02,1,Monday,2026-03
312,Journaling,Morning,2026-03-03,1,Tuesday,2026-03
313,Journaling,Morning,2026-03-04,1,Wednesday,2026-03
314,Journaling,Morning,2026-03-05,1,Thursday,2026-03
315,Journaling,Morning,2026-03-06,1,Friday,2026-03
316,Journaling,Morning,2026-03-07,1,Saturday,2026-03
317,Journaling,Morning,2026-03-08,1,Sunday,2026-03
318,Journaling,Morning,2026-03-09,1,Monday,2026-03
319,Journaling,Morning,2026-03-10,0,Tuesday,2026-03
320,Journaling,Morning,2026-03-11,0,Wednesday,2026-03
321,Journaling,Morning,2026-03-12,0,Thursday,2026-03
322,Journaling,Morning,2026-03-13,1,Friday,2026-03
323,Journaling,Morning,2026-03-14,1,Saturday,2026-03
324,Journaling,Morning,2026-03-15,1,Sunday,2026-03
325,Journaling,Morning,2026-03-16,1,Monday,2026-03
326,Journaling,Morning,2026-03-17,0,Tuesday,2026-03
327,Journaling,Morning,2026-03-18,1,Wednesday,2026-03
328,Journaling,Morning,2026-03-19,1,Thursday,2026-03
329,Journaling,Morning,2026-03-20,1,Friday,2026-03
330,Journaling,Morning,2026-03-21,0,Saturday,2026-03
331,Journaling,Morning,2026-03-22,1,Sunday,2026-03
332,Journaling,Morning,2026-03-23,1,Monday,2026-03
333,Journaling,Morning,2026-03-24,1,Tuesday,2026-03
334,Journaling,Morning,2026-03-25,0,Wednesday,2026-03
335,Journaling,Morning,2026-03-26,1,Thursday,2026-03
336,Journaling,Morning,2026-03-27,0,Friday,2026-03
337,Journaling,Morning,2026-03-28,0,Saturday,2026-03
338,Journaling,Morning,2026-03-29,1,Sunday,2026-03
339,Journaling,Morning,2026-03-30,0,Monday,2026-03
340,Journaling,Morning,2026-03-31,1,Tuesday,2026-03
341,Journaling,Morning,2026-04-01,0,Wednesday,2026-04
342,Journaling,Morning,2026-04-02,1,Thursday,2026-04
343,Journaling,Morning,2026-04-03,1,Friday,2026-04
344,Journaling,Morning,2026-04-04,1,Saturday,2026-04
345,Journaling,Morning,2026-04-05,1,Sunday,2026-04
346,Journaling,Morning,2026-04-06,0,Monday,2026-04
347,Journaling,Morning,2026-04-07,1,Tuesday,2026-04
348,Journaling,Morning,2026-04-08,1,Wednesday,2026-04
349,Journaling,Morning,2026-04-09,1,Thursday,2026-04
350,Journaling,Morning,2026-04-10,0,Friday,2026-04
351,Journaling,Morning,2026-04-11,1,Saturday,2026-04
352,Journaling,Morning,2026-04-12,1,Sunday,2026-04
353,Journaling,Morning,2026-04-13,1,Monday,2026-04
354,Journaling,Morning,2026-04-14,0,Tuesday,2026-04
355,Journaling,Morning,2026-04-15,1,Wednesday,2026-04
356,Journaling,Morning,2026-04-16,1,Thursday,2026-04
357,Journaling,Morning,2026-04-17,1,Friday,2026-04
358,Journaling,Morning,2026-04-18,0,Saturday,2026-04
359,Journaling,Morning,2026-04-19,1,Sunday,2026-04
360,Journaling,Morning,2026-04-20,1,Monday,2026-04
361,Journaling,Morning,2026-04-21,1,Tuesday,2026-04
362,Journaling,Morning,2026-04-22,0,Wednesday,2026-04
363,Journaling,Morning,2026-04-23,0,Thursday,2026-04
364,Journaling,Morning,2026-04-24,1,Friday,2026-04
365,Journaling,Morning,2026-04-25,1,Saturday,2026-04
366,Journaling,Morning,2026-04-26,1,Sunday,2026-04
367,Journaling,Morning,2026-04-27,1,Monday,2026-04
368,Journaling,Morning,2026-04-28,1,Tuesday,2026-04
369,Journaling,Morning,2026-04-29,1,Wednesday,2026-04
370,Journaling,Morning,2026-04-30,1,Thursday,2026-04
371,Journaling,Morning,2026-05-01,0,Friday,2026-05
372,Journaling,Morning,2026-05-02,1,Saturday,2026-05
373,Journaling,Morning,2026-05-03,0,Sunday,2026-05
374,Journaling,Morning,2026-05-04,1,Monday,2026-05
375,Journaling,Morning,2026-05-05,1,Tuesday,2026-05
376,Journaling,Morning,2026-05-06,1,Wednesday,2026-05
377,Journaling,Morning,2026-05-07,1,Thursday,2026-05
378,Journaling,Morning,2026-05-08,1,Friday,2026-05
379,Exercise,Morning,2025-11-01,0,Saturday,2025-11
380,Exercise,Morning,2025-11-02,0,Sunday,2025-11
381,Exercise,Morning,2025-11-03,1,Monday,2025-11
382,Exercise,Morning,2025-11-04,1,Tuesday,2025-11
383,Exercise,Morning,2025-11-05,1,Wednesday,2025-11
384,Exercise,Morning,2025-11-06,1,Thursday,2025-11
385,Exercise,Morning,2025-11-07,1,Friday,2025-11
386,Exercise,Morning,2025-11-08,0,Saturday,2025-11
387,Exercise,Morning,2025-11-09,0,Sunday,2025-11
388,Exercise,Morning,2025-11-10,0,Monday,2025-11
389,Exercise,Morning,2025-11-11,1,Tuesday,2025-11
390,Exercise,Morning,2025-11-12,0,Wednesday,2025-11
391,Exercise,Morning,2025-11-13,0,Thursday,2025-11
392,Exercise,Morning,2025-11-14,1,Friday,2025-11
393,Exercise,Morning,2025-11-15,1,Saturday,2025-11
394,Exercise,Morning,2025-11-16,0,Sunday,2025-11
395,Exercise,Morning,2025-11-17,1,Monday,2025-11
396,Exercise,Morning,2025-11-18,1,Tuesday,2025-11
397,Exercise,Morning,2025-11-19,1,Wednesday,2025-11
398,Exercise,Morning,2025-11-20,1,Thursday,2025-11
399,Exercise,Morning,2025-11-21,1,Friday,2025-11
400,Exercise,Morning,2025-11-22,0,Saturday,2025-11
401,Exercise,Morning,2025-11-23,0,Sunday,2025-11
402,Exercise,Morning,2025-11-24,1,Monday,2025-11
403,Exercise,Morning,2025-11-25,1,Tuesday,2025-11
404,Exercise,Morning,2025-11-26,1,Wednesday,2025-11
405,Exercise,Morning,2025-11-27,1,Thursday,2025-11
406,Exercise,Morning,2025-11-28,1,Friday,2025-11
407,Exercise,Morning,2025-11-29,1,Saturday,2025-11
408,Exercise,Morning,2025-11-30,1,Sunday,2025-11
409,Exercise,Morning,2025-12-01,1,Monday,2025-12
410,Exercise,Morning,2025-12-02,1,Tuesday,2025-12
411,Exercise,Morning,2025-12-03,1,Wednesday,2025-12
412,Exercise,Morning,2025-12-04,1,Thursday,2025-12
413,Exercise,Morning,2025-12-05,0,Friday,2025-12
414,Exercise,Morning,2025-12-06,1,Saturday,2025-12
415,Exercise,Morning,2025-12-07,0,Sunday,2025-12
416,Exercise,Morning,2025-12-08,1,Monday,2025-12
417,Exercise,Morning,2025-12-09,1,Tuesday,2025-12
418,Exercise,Morning,2025-12-10,0,Wednesday,2025-12
419,Exercise,Morning,2025-12-11,1,Thursday,2025-12
420,Exercise,Morning,2025-12-12,1,Friday,2025-12
421,Exercise,Morning,2025-12-13,0,Saturday,2025-12
422,Exercise,Morning,2025-12-14,1,Sunday,2025-12
423,Exercise,Morning,2025-12-15,0,Monday,2025-12
424,Exercise,Morning,2025-12-16,1,Tuesday,2025-12
425,Exercise,Morning,2025-12-17,1,Wednesday,2025-12
426,Exercise,Morning,2025-12-18,1,Thursday,2025-12
427,Exercise,Morning,2025-12-19,1,Friday,2025-12
428,Exercise,Morning,2025-12-20,0,Saturday,2025-12
429,Exercise,Morning,2025-12-21,0,Sunday,2025-12
430,Exercise,Morning,2025-12-22,1,Monday,2025-12
431,Exercise,Morning,2025-12-23,1,Tuesday,2025-12
432,Exercise,Morning,2025-12-24,1,Wednesday,2025-12
433,Exercise,Morning,2025-12-25,1,Thursday,2025-12
434,Exercise,Morning,2025-12-26,1,Friday,2025-12
435,Exercise,Morning,2025-12-27,1,Saturday,2025-12
436,Exercise,Morning,2025-12-28,1,Sunday,2025-12
437,Exercise,Morning,2025-12-29,1,Monday,2025-12
438,Exercise,Morning,2025-12-30,0,Tuesday,2025-12
439,Exercise,Morning,2025-12-31,1,Wednesday,2025-12
440,Exercise,Morning,2026-01-01,1,Thursday,2026-01
441,Exercise,Morning,2026-01-02,1,Friday,2026-01
442,Exercise,Morning,2026-01-03,1,Saturday,2026-01
443,Exercise,Morning,2026-01-04,1,Sunday,2026-01
444,Exercise,Morning,2026-01-05,0,Monday,2026-01
445,Exercise,Morning,2026-01-06,1,Tuesday,2026-01
446,Exercise,Morning,2026-01-07,1,Wednesday,2026-01
447,Exercise,Morning,2026-01-08,1,Thursday,2026-01
448,Exercise,Morning,2026-01-09,1,Friday,2026-01
449,Exercise,Morning,2026-01-10,1,Saturday,2026-01
450,Exercise,Morning,2026-01-11,0,Sunday,2026-01
451,Exercise,Morning,2026-01-12,1,Monday,2026-01
452,Exercise,Morning,2026-01-13,1,Tuesday,2026-01
